employee_id,department_id,name,age,gender,salary,hire_date
2,101,Jane Smith,25,Female,45000,15-02-2016
2,101,Jane Smith,25,Female,45000,15-02-2016
10,104,Lisa Lee,27,Female,47000,01-08-2018
10,104,Lisa Lee,27,Female,47000,01-08-2018
4,102,Alice Lee,28,Female,48000,30-09-2017
4,102,Alice Lee,28,Female,48000,30-09-2017
1,101,John Doe,30,Male,50000,01-01-2015
1,101,John Doe,30,Male,50000,01-01-2015
8,102,Kate Kim,29,Female,51000,01-10-2019
8,102,Kate Kim,29,Female,51000,01-10-2019
6,103,Jill Wong,32,Female,52000,01-07-2018
6,103,Jill Wong,32,Female,52000,01-07-2018
3,102,Bob Brown,35,Male,55000,01-05-2014
3,102,Bob Brown,35,Male,55000,01-05-2014
9,103,Tom Tan,33,Male,58000,01-06-2016
9,103,Tom Tan,33,Male,58000,01-06-2016
5,103,Jack Chan,40,Male,60000,01-04-2013
5,103,Jack Chan,40,Male,60000,01-04-2013
7,101,James Johnson,42,Male,70000,15-03-2012
7,101,James Johnson,42,Male,70000,15-03-2012
